Url,Name,Username,About,Location,Website,Date,Time,Verified,No. of Tweets,Following,Followers,List Counts
https://twitter.com/rajnathsingh,Rajnath Singh,rajnathsingh,"Minister of Home Affairs, Government of India, INDIA",,http://t.co/vi2hmSrn9J,2013-04-12,09:46:07,True,2512,124,4994074,2051
Tweet ID,Retweeted,Date Created,Time Created,No. of Retweets,Likes,No. of hashtags,Hashtag texts,No. of User Mentions,User Mentions Text,Media Type,Source,Is Quote Status,Favorited,Possibly Sensitive,Language
848449168070725632 - id,False,2017-04-02,08:16:59,498,3049,0,,0,,,Twitter for iPhone,False,False,False,en
848434286969536512 - id,False,2017-04-02,07:17:51,213,1904,0,,0,,,Twitter for iPhone,False,False,,en
848058504367689728 - id,False,2017-04-01,06:24:38,350,3363,0,,0,,,Twitter for iPad,False,False,,en
847842948611964928 - id,False,2017-03-31,16:08:05,525,3902,0,,0,,,Twitter for iPad,False,False,False,hi
847831857525927936 - id,False,2017-03-31,15:24:01,243,1870,0,,0,,"photo,photo",Twitter Web Client,False,False,False,en
847725001486745600 - id,False,2017-03-31,08:19:24,2058,0,0,,1,Piyush Goyal,,Twitter Web Client,False,False,,en
847724798780166145 - id,False,2017-03-31,08:18:36,768,4283,0,,0,,video,Media Studio,False,False,False,en
847127537767600128 - id,False,2017-03-29,16:45:18,944,6627,1,OneNationOneTax,0,,,Twitter for iPad,False,False,,en
846567861376159744 - id,False,2017-03-28,03:41:21,590,5003,0,,0,,,Twitter for iPad,False,False,,en
846567705243254784 - id,False,2017-03-28,03:40:44,1191,10040,0,,0,,,Twitter for iPad,False,False,,hi
846284416754356224 - id,False,2017-03-27,08:55:02,422,3790,0,,0,,,Twitter for iPad,False,False,,hi
846283994828341248 - id,False,2017-03-27,08:53:22,424,3813,0,,0,,,Twitter for iPad,False,False,,hi
845949546169450496 - id,False,2017-03-26,10:44:23,245,1863,0,,0,,,Twitter for iPhone,False,False,False,en
845619079088132096 - id,False,2017-03-25,12:51:13,659,4718,0,,0,,,Media Studio,False,False,False,hi
845615793589112832 - id,False,2017-03-25,12:38:10,387,2397,0,,1,BSF,video,Media Studio,False,False,False,en
845596493839024128 - id,False,2017-03-25,11:21:29,2023,9833,0,,0,,,Twitter for iPad,False,False,False,en
845596042506702848 - id,False,2017-03-25,11:19:41,734,4378,0,,0,,,Twitter for iPad,False,False,,en
845595599156269056 - id,False,2017-03-25,11:17:55,1245,6417,0,,0,,,Twitter for iPad,False,False,False,en
845582764367863808 - id,False,2017-03-25,10:26:55,274,2222,0,,0,,,Twitter for iPad,False,False,False,en
845250493421051904 - id,False,2017-03-24,12:26:36,370,4040,0,,0,,,Twitter for iPhone,False,False,,en
844890740794773505 - id,False,2017-03-23,12:37:04,818,5436,0,,0,,video,Media Studio,False,False,False,en
844741885805522948 - id,False,2017-03-23,02:45:34,1701,10743,0,,0,,,Twitter for iPhone,False,False,,en
844410506953867265 - id,False,2017-03-22,04:48:47,497,4819,0,,0,,,Twitter for iPad,False,False,False,hi
844102363401129985 - id,False,2017-03-21,08:24:20,2015,13238,0,,0,,,Twitter for iPad,False,False,False,hi
843728146528526336 - id,False,2017-03-20,07:37:20,969,7462,0,,0,,,Twitter for iPhone,False,False,,en
843407758049214466 - id,False,2017-03-19,10:24:13,1825,11377,0,,0,,,Twitter for iPhone,False,False,,hi
843134671189827584 - id,False,2017-03-18,16:19:04,227,1980,0,,0,,,Twitter for iPad,False,False,False,en
843054431692382208 - id,False,2017-03-18,11:00:14,1018,8549,0,,0,,,Twitter for iPad,False,False,,hi
842416147483971584 - id,False,2017-03-16,16:43:55,5624,18117,0,,1,Akshay Kumar,,Twitter for iPhone,False,False,,en
842415762551664640 - id,False,2017-03-16,16:42:23,5233,16388,0,,1,Akshay Kumar,,Twitter for iPhone,True,False,False,en
841628959523528704 - id,False,2017-03-14,12:35:55,853,7044,0,,0,,,Twitter for iPhone,False,False,,en
841628768665968643 - id,False,2017-03-14,12:35:09,648,4807,0,,1,Manohar Parrikar,,Twitter for iPhone,False,False,,en
841124501895053313 - id,False,2017-03-13,03:11:23,1408,12734,0,,0,,,Twitter Web Client,False,False,,und
840631598714257408 - id,False,2017-03-11,18:32:45,1633,7407,0,,0,,photo,Twitter for iPhone,False,False,False,en
840607705567973376 - id,False,2017-03-11,16:57:49,323,0,0,,1,HMO India,photo,Twitter for iPhone,False,False,False,en
840521184802361344 - id,False,2017-03-11,11:14:01,1106,6382,0,,0,,,Twitter for iPhone,False,False,,en
840517679240765441 - id,False,2017-03-11,11:00:05,1169,8198,0,,0,,,Twitter for iPad,False,False,,hi
840450704686817280 - id,False,2017-03-11,06:33:57,1831,9537,0,,0,,,Twitter for iPhone,False,False,,hi
840450200648867840 - id,False,2017-03-11,06:31:57,964,5436,0,,0,,,Twitter for iPhone,False,False,,hi
840449585998835712 - id,False,2017-03-11,06:29:30,1369,6799,0,,0,,,Twitter for iPhone,False,False,,hi
840449389206224896 - id,False,2017-03-11,06:28:43,1684,7920,0,,0,,,Twitter for iPhone,False,False,,hi
840449220058337282 - id,False,2017-03-11,06:28:03,398,2317,0,,0,,,Twitter for iPhone,False,False,,en
840449007830806528 - id,False,2017-03-11,06:27:12,277,1630,0,,1,Dr Raman Singh,,Twitter for iPhone,False,False,,en
840448745779089409 - id,False,2017-03-11,06:26:10,726,3019,0,,0,,,Twitter for iPhone,False,False,,en
840021138084315136 - id,False,2017-03-10,02:07:00,546,2878,0,,0,,,Twitter for iPhone,False,False,,en
840020968533823488 - id,False,2017-03-10,02:06:20,504,2573,0,,0,,,Twitter for iPhone,False,False,,en
839738348059115520 - id,False,2017-03-09,07:23:18,3321,11851,0,,0,,video,Media Studio,False,False,False,hi
839319290922688512 - id,False,2017-03-08,03:38:07,360,2347,0,,0,,,Twitter for iPad,False,False,,hi
839319154809188352 - id,False,2017-03-08,03:37:34,238,1674,0,,0,,,Twitter for iPad,False,False,,en
838738940815290369 - id,False,2017-03-06,13:12:01,123,0,0,,2,"Rajnathsingh_in,Rajnath Singh",,Twitter for iPhone,False,False,,en
838728534512238592 - id,False,2017-03-06,12:30:40,401,2279,0,,0,,,Twitter for iPad,False,False,False,hi
838619883260649472 - id,False,2017-03-06,05:18:55,273,1991,0,,0,,,Twitter for iPad,False,False,,hi
838399699895771136 - id,False,2017-03-05,14:43:59,264,2018,0,,0,,video,Media Studio,False,False,False,hi
837913618008068096 - id,False,2017-03-04,06:32:28,252,1629,0,,0,,,Twitter for iPhone,False,False,,en
837899719548379137 - id,False,2017-03-04,05:37:15,183,1712,0,,0,,,Twitter for iPad,False,False,,hi
837864754462928897 - id,False,2017-03-04,03:18:18,362,1985,0,,0,,,Twitter for iPad,False,False,,hi
837356759211618304 - id,False,2017-03-02,17:39:43,329,1887,0,,0,,,Media Studio,False,False,False,en
837356364003340288 - id,False,2017-03-02,17:38:09,298,1612,0,,0,,,Media Studio,False,False,False,en
837310986243751936 - id,False,2017-03-02,14:37:50,218,1497,0,,0,,,Twitter for iPad,False,False,False,en
837154503568818176 - id,False,2017-03-02,04:16:01,252,1772,0,,0,,,Twitter for iPhone,False,False,,en
836797929973288962 - id,False,2017-03-01,04:39:08,299,2246,0,,0,,,Twitter for iPad,False,False,,hi
836613908374827009 - id,False,2017-02-28,16:27:53,515,2893,0,,0,,video,Media Studio,False,False,False,hi
836174397354332160 - id,False,2017-02-27,11:21:26,340,1692,0,,0,,video,Media Studio,False,False,False,hi
836172581828980737 - id,False,2017-02-27,11:14:13,528,2493,0,,0,,video,Media Studio,False,False,False,hi
836163578293977088 - id,False,2017-02-27,10:38:26,261,1141,0,,0,,video,Media Studio,False,False,False,hi
836163206619906048 - id,False,2017-02-27,10:36:58,285,1313,0,,0,,video,Media Studio,False,False,False,hi
836162286482042886 - id,False,2017-02-27,10:33:18,250,1069,0,,0,,video,Media Studio,False,False,False,hi
836085054145097729 - id,False,2017-02-27,05:26:25,110,761,0,,0,,,Twitter for iPhone,False,False,False,en
836062499774439428 - id,False,2017-02-27,03:56:47,260,1578,0,,0,,,Twitter for iPad,False,False,,hi
835722253358682113 - id,False,2017-02-26,05:24:46,205,1510,0,,0,,,Twitter for iPad,False,False,,hi
835721550607212544 - id,False,2017-02-26,05:21:59,288,1756,0,,0,,,Twitter for iPad,False,False,,en
835001394449027072 - id,False,2017-02-24,05:40:20,166,1382,0,,0,,,Twitter for iPad,False,False,,hi
834973802912182277 - id,False,2017-02-24,03:50:42,427,3613,0,,0,,,Twitter for iPad,False,False,,hi
834754914177867776 - id,False,2017-02-23,13:20:55,352,2200,0,,0,,,Twitter for iPhone,False,False,,en
834754463055220737 - id,False,2017-02-23,13:19:07,337,1862,0,,0,,,Twitter for iPhone,False,False,,en
834639849428750337 - id,False,2017-02-23,05:43:41,256,1627,0,,0,,,Twitter for iPad,False,False,,hi
834614368847482880 - id,False,2017-02-23,04:02:26,267,1497,0,,0,,,Twitter for iPad,False,False,,hi
834275629197623299 - id,False,2017-02-22,05:36:24,248,1498,0,,0,,,Twitter Web Client,False,False,,hi
834080995825553409 - id,False,2017-02-21,16:43:00,365,1792,0,,0,,video,Media Studio,False,False,False,hi
834080107895599107 - id,False,2017-02-21,16:39:28,276,1196,0,,0,,video,Media Studio,False,False,False,hi
833873876618731520 - id,False,2017-02-21,02:59:59,224,1524,0,,0,,,Twitter for iPad,False,False,,hi
833735536900767744 - id,False,2017-02-20,17:50:16,127,0,0,,1,HMO India,,Twitter for iPad,False,False,,en
833510530417438721 - id,False,2017-02-20,02:56:10,194,1350,0,,0,,,Twitter for iPhone,False,False,,en
833504831553703936 - id,False,2017-02-20,02:33:32,138,927,0,,0,,,Twitter for iPhone,False,False,,en
833504378052939776 - id,False,2017-02-20,02:31:44,206,1308,0,,0,,,Twitter for iPhone,False,False,,en
833501833549131776 - id,False,2017-02-20,02:21:37,155,929,0,,0,,,Twitter for iPhone,False,False,False,en
833188427155791872 - id,False,2017-02-19,05:36:15,168,1268,0,,0,,,Twitter for iPad,False,False,,en
